arte-chatbot-backend  | INFO:     Started server process [1]
arte-chatbot-backend  | INFO:     127.0.0.1:41550 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:38966 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:53274 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37182 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37618 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:52008 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42900 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:36836 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55822 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:38176 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:58156 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:34064 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:33902 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:47360 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:58024 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:45998 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:57206 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60804 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:50128 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:56064 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:34078 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:44132 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:33110 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:39646 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:33308 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60432 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:48090 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35974 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:57630 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46614 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:49342 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:33152 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60362 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:39408 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37968 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:53464 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:50296 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:53442 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:45504 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:52752 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40878 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55532 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35934 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42020 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46228 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35394 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46790 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55000 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42760 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:44422 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:53284 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37106 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40576 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37238 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:39634 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35220 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:32832 - "GET /health HTTP/1.1" 200 OK
